,Reference Genom,Node Name,prediction method,mse,rmse
0,bacteria88g_24nodes,213,Polynominal  1,73510.20757288272,271.1276591808418
1,bacteria88g_24nodes,213,Polynominal  2,73509.9949089959,271.1272669965083
2,bacteria88g_24nodes,213,Polynominal  3,73484.359196266,271.07998671289994
3,bacteria88g_24nodes,213,Polynominal_curve  1,73510.20757288272,271.1276591808418
4,bacteria88g_24nodes,213,Polynominal_curve  2,73509.9949089959,271.1272669965083
5,bacteria88g_24nodes,213,Polynominal_curve  3,73484.359196266,271.07998671289994
0,bacteria88g_24nodes,213,Log_Polynominal  1,1.2684841054935228,1.6285182537336473
1,bacteria88g_24nodes,213,Log_Polynominal  2,1.2210067922098555,1.563381236191466
2,bacteria88g_24nodes,213,Log_Polynominal  3,1.2161306369230958,1.556361579733592
3,bacteria88g_24nodes,213,Log_curve  1,inf,inf
4,bacteria88g_24nodes,213,Log_curve  2,inf,inf
5,bacteria88g_24nodes,213,Log_curve  3,inf,inf
0,bacteria88g_24nodes,213,Smoothing Spline,11972.918798554992,109.4208334758742
0,bacteria88g_24nodes,213,Univariatn Spline smoothing approximation 1 with degree  1 ,73510.20757288273,271.1276591808418
1,bacteria88g_24nodes,213,Univariatn Spline smoothing approximation 1 with degree  2 ,73509.9949089959,271.1272669965083
2,bacteria88g_24nodes,213,Univariatn Spline smoothing approximation 1 with degree  3 ,73484.35919626597,271.0799867128999
3,bacteria88g_24nodes,213,Univariatn Spline smoothing approximation 2 with degree  1 ,0.7735518720046195,0.8795179770787062
4,bacteria88g_24nodes,213,Univariatn Spline smoothing approximation 2 with degree  2 ,0.7735872924526755,0.8795381131324984
5,bacteria88g_24nodes,213,Univariatn Spline smoothing approximation 2 with degree  3 ,0.7735436266873498,0.8795132896593147
0,bacteria88g_24nodes,213,Generell Spline approximation smoothing s1 with degree  1 ,0.7735518720046195,0.8795179770787062
1,bacteria88g_24nodes,213,Generell Spline approximation smoothing s1 with degree  2 ,0.7735872924526755,0.8795381131324984
2,bacteria88g_24nodes,213,Generell Spline approximation smoothing s1 with degree  3 ,0.7735436266873498,0.8795132896593147
3,bacteria88g_24nodes,213,Generell Spline approximation smoothing s2 with degree  1 ,73510.20757288273,271.1276591808418
4,bacteria88g_24nodes,213,Generell Spline approximation smoothing s2 with degree  2 ,73509.9949089959,271.1272669965083
5,bacteria88g_24nodes,213,Generell Spline approximation smoothing s2 with degree  3 ,73484.35919626597,271.0799867128999
0,bacteria88g_24nodes,215,Polynominal  1,95503.3894524466,309.03622676386436
1,bacteria88g_24nodes,215,Polynominal  2,79168.04129918558,281.3681597110547
2,bacteria88g_24nodes,215,Polynominal  3,61289.578001369286,247.5673201401374
3,bacteria88g_24nodes,215,Polynominal_curve  1,95503.3894524466,309.03622676386436
4,bacteria88g_24nodes,215,Polynominal_curve  2,79168.04129918558,281.3681597110547
5,bacteria88g_24nodes,215,Polynominal_curve  3,61289.578001369286,247.5673201401374
0,bacteria88g_24nodes,215,Log_Polynominal  1,1.3434347891685443,1.7217657386327982
1,bacteria88g_24nodes,215,Log_Polynominal  2,1.2315096985050222,1.578277564556048
2,bacteria88g_24nodes,215,Log_Polynominal  3,1.174423559532454,1.4932733982454938
3,bacteria88g_24nodes,215,Log_curve  1,inf,inf
4,bacteria88g_24nodes,215,Log_curve  2,inf,inf
5,bacteria88g_24nodes,215,Log_curve  3,inf,inf
0,bacteria88g_24nodes,215,Smoothing Spline,1.9642389788735246e-09,4.431973577170248e-05
0,bacteria88g_24nodes,215,Univariatn Spline smoothing approximation 1 with degree  1 ,95503.3894524466,309.03622676386436
1,bacteria88g_24nodes,215,Univariatn Spline smoothing approximation 1 with degree  2 ,79168.04129918558,281.3681597110547
2,bacteria88g_24nodes,215,Univariatn Spline smoothing approximation 1 with degree  3 ,61289.57800136927,247.56732014013738
3,bacteria88g_24nodes,215,Univariatn Spline smoothing approximation 2 with degree  1 ,0.6666149094751023,0.8164648856350788
4,bacteria88g_24nodes,215,Univariatn Spline smoothing approximation 2 with degree  2 ,0.666617828860557,0.8164666734537038
5,bacteria88g_24nodes,215,Univariatn Spline smoothing approximation 2 with degree  3 ,0.6666096546038293,0.8164616675654952
0,bacteria88g_24nodes,215,Generell Spline approximation smoothing s1 with degree  1 ,0.6666149094751023,0.8164648856350788
1,bacteria88g_24nodes,215,Generell Spline approximation smoothing s1 with degree  2 ,0.666617828860557,0.8164666734537038
2,bacteria88g_24nodes,215,Generell Spline approximation smoothing s1 with degree  3 ,0.6666096546038293,0.8164616675654952
3,bacteria88g_24nodes,215,Generell Spline approximation smoothing s2 with degree  1 ,95503.3894524466,309.03622676386436
4,bacteria88g_24nodes,215,Generell Spline approximation smoothing s2 with degree  2 ,79168.04129918558,281.3681597110547
5,bacteria88g_24nodes,215,Generell Spline approximation smoothing s2 with degree  3 ,61289.57800136927,247.56732014013738
0,bacteria88g_24nodes,216,Polynominal  1,22106.365153881376,148.68209426114962
1,bacteria88g_24nodes,216,Polynominal  2,17114.646079615995,130.82295700532072
2,bacteria88g_24nodes,216,Polynominal  3,14587.423420807361,120.77840626870086
3,bacteria88g_24nodes,216,Polynominal_curve  1,22106.365153881376,148.68209426114962
4,bacteria88g_24nodes,216,Polynominal_curve  2,17114.646079615995,130.82295700532072
5,bacteria88g_24nodes,216,Polynominal_curve  3,14587.423420807361,120.77840626870086
0,bacteria88g_24nodes,216,Log_Polynominal  1,1.1789310758348603,1.50038135405686
1,bacteria88g_24nodes,216,Log_Polynominal  2,1.0784112812277442,1.316204840177607
2,bacteria88g_24nodes,216,Log_Polynominal  3,1.0480538426665302,1.2419028763783813
3,bacteria88g_24nodes,216,Log_curve  1,inf,inf
4,bacteria88g_24nodes,216,Log_curve  2,inf,inf
5,bacteria88g_24nodes,216,Log_curve  3,inf,inf
0,bacteria88g_24nodes,216,Smoothing Spline,19.07456726223551,4.367444019359093
0,bacteria88g_24nodes,216,Univariatn Spline smoothing approximation 1 with degree  1 ,22106.36515388139,148.68209426114964
1,bacteria88g_24nodes,216,Univariatn Spline smoothing approximation 1 with degree  2 ,17114.646079616006,130.82295700532077
2,bacteria88g_24nodes,216,Univariatn Spline smoothing approximation 1 with degree  3 ,14587.42342080736,120.77840626870086
3,bacteria88g_24nodes,216,Univariatn Spline smoothing approximation 2 with degree  1 ,0.6220373234180732,0.7886934280302285
4,bacteria88g_24nodes,216,Univariatn Spline smoothing approximation 2 with degree  2 ,0.6223383267644491,0.7888842289996988
5,bacteria88g_24nodes,216,Univariatn Spline smoothing approximation 2 with degree  3 ,0.6220332231674508,0.7886908286315055
0,bacteria88g_24nodes,216,Generell Spline approximation smoothing s1 with degree  1 ,0.6220373234180732,0.7886934280302285
1,bacteria88g_24nodes,216,Generell Spline approximation smoothing s1 with degree  2 ,0.6223383267644491,0.7888842289996988
2,bacteria88g_24nodes,216,Generell Spline approximation smoothing s1 with degree  3 ,0.6220332231674508,0.7886908286315055
3,bacteria88g_24nodes,216,Generell Spline approximation smoothing s2 with degree  1 ,22106.36515388139,148.68209426114964
4,bacteria88g_24nodes,216,Generell Spline approximation smoothing s2 with degree  2 ,17114.646079616006,130.82295700532077
5,bacteria88g_24nodes,216,Generell Spline approximation smoothing s2 with degree  3 ,14587.42342080736,120.77840626870086
0,bacteria88g_24nodes,217,Polynominal  1,263494.57592542487,513.3172273803256
1,bacteria88g_24nodes,217,Polynominal  2,247654.02373512203,497.64849415538475
2,bacteria88g_24nodes,217,Polynominal  3,243401.4420498808,493.357316809917
3,bacteria88g_24nodes,217,Polynominal_curve  1,263494.57592542487,513.3172273803256
4,bacteria88g_24nodes,217,Polynominal_curve  2,247654.02373512203,497.64849415538475
5,bacteria88g_24nodes,217,Polynominal_curve  3,243401.4420498808,493.357316809917
0,bacteria88g_24nodes,217,Log_Polynominal  1,1.4755012971645298,1.8658129889625301
1,bacteria88g_24nodes,217,Log_Polynominal  2,1.3419838028818916,1.720052857164742
2,bacteria88g_24nodes,217,Log_Polynominal  3,1.3076960636078294,1.6785743658936174
3,bacteria88g_24nodes,217,Log_curve  1,inf,inf
4,bacteria88g_24nodes,217,Log_curve  2,inf,inf
5,bacteria88g_24nodes,217,Log_curve  3,inf,inf
0,bacteria88g_24nodes,217,Smoothing Spline,83805.57631909137,289.49192789971084
0,bacteria88g_24nodes,217,Univariatn Spline smoothing approximation 1 with degree  1 ,263494.5759254249,513.3172273803257
1,bacteria88g_24nodes,217,Univariatn Spline smoothing approximation 1 with degree  2 ,247654.0237351221,497.6484941553848
2,bacteria88g_24nodes,217,Univariatn Spline smoothing approximation 1 with degree  3 ,243401.44204988086,493.35731680991705
3,bacteria88g_24nodes,217,Univariatn Spline smoothing approximation 2 with degree  1 ,0.7867917721466107,0.8870128365173814
4,bacteria88g_24nodes,217,Univariatn Spline smoothing approximation 2 with degree  2 ,0.7867861558480918,0.8870096706621026
5,bacteria88g_24nodes,217,Univariatn Spline smoothing approximation 2 with degree  3 ,0.7868027567290938,0.8870190283917779
0,bacteria88g_24nodes,217,Generell Spline approximation smoothing s1 with degree  1 ,0.7867917721466107,0.8870128365173814
1,bacteria88g_24nodes,217,Generell Spline approximation smoothing s1 with degree  2 ,0.7867861558480918,0.8870096706621026
2,bacteria88g_24nodes,217,Generell Spline approximation smoothing s1 with degree  3 ,0.7868027567290938,0.8870190283917779
3,bacteria88g_24nodes,217,Generell Spline approximation smoothing s2 with degree  1 ,263494.5759254249,513.3172273803257
4,bacteria88g_24nodes,217,Generell Spline approximation smoothing s2 with degree  2 ,247654.0237351221,497.6484941553848
5,bacteria88g_24nodes,217,Generell Spline approximation smoothing s2 with degree  3 ,243401.44204988086,493.35731680991705
0,bacteria88g_24nodes,218,Polynominal  1,13971.117737495631,118.19948281399387
1,bacteria88g_24nodes,218,Polynominal  2,13187.52782416857,114.83696192502033
2,bacteria88g_24nodes,218,Polynominal  3,13169.381179436665,114.75792425552436
3,bacteria88g_24nodes,218,Polynominal_curve  1,13971.117737495631,118.19948281399387
4,bacteria88g_24nodes,218,Polynominal_curve  2,13187.52782416857,114.83696192502033
5,bacteria88g_24nodes,218,Polynominal_curve  3,13169.381179436665,114.75792425552436
0,bacteria88g_24nodes,218,Log_Polynominal  1,1.1435073724173856,1.4422392154801251
1,bacteria88g_24nodes,218,Log_Polynominal  2,1.115824693098277,1.3924287055868056
2,bacteria88g_24nodes,218,Log_Polynominal  3,1.1080574453249261,1.37757610741943
3,bacteria88g_24nodes,218,Log_curve  1,inf,inf
4,bacteria88g_24nodes,218,Log_curve  2,inf,inf
5,bacteria88g_24nodes,218,Log_curve  3,inf,inf
0,bacteria88g_24nodes,218,Smoothing Spline,8053.873259943911,89.74337446265274
