,Reference Genom,Node Name,prediction method,mse,rmse
0,bacteria58g_8nodes,213,Polynominal  1,51211.8187310542,226.30028442548232
1,bacteria58g_8nodes,213,Polynominal  2,49514.04090499932,222.51750696293385
2,bacteria58g_8nodes,213,Polynominal  3,46099.30388995881,214.70748447587664
3,bacteria58g_8nodes,213,Polynominal_curve  1,51211.8187310542,226.30028442548232
4,bacteria58g_8nodes,213,Polynominal_curve  2,49514.04090499932,222.51750696293385
5,bacteria58g_8nodes,213,Polynominal_curve  3,46099.30388995877,214.70748447587656
0,bacteria58g_8nodes,213,Log_Polynominal  1,1.3983765754160835,1.7843626409816358
1,bacteria58g_8nodes,213,Log_Polynominal  2,1.1937411684904813,1.5232150388853458
2,bacteria58g_8nodes,213,Log_Polynominal  3,1.1482807980098564,1.450402614765423
3,bacteria58g_8nodes,213,Log_curve  1,inf,inf
4,bacteria58g_8nodes,213,Log_curve  2,inf,inf
5,bacteria58g_8nodes,213,Log_curve  3,inf,inf
0,bacteria58g_8nodes,213,Smoothing Spline,4552.481354762198,67.47207833439101
0,bacteria58g_8nodes,213,Univariatn Spline smoothing approximation 1 with degree  1 ,51211.8187310542,226.30028442548232
1,bacteria58g_8nodes,213,Univariatn Spline smoothing approximation 1 with degree  2 ,49514.04090499932,222.51750696293385
2,bacteria58g_8nodes,213,Univariatn Spline smoothing approximation 1 with degree  3 ,46099.30388995879,214.7074844758766
3,bacteria58g_8nodes,213,Univariatn Spline smoothing approximation 2 with degree  1 ,0.7417910256522542,0.8612729100884656
4,bacteria58g_8nodes,213,Univariatn Spline smoothing approximation 2 with degree  2 ,0.7417793572046993,0.8612661361070104
5,bacteria58g_8nodes,213,Univariatn Spline smoothing approximation 2 with degree  3 ,0.7418963432154323,0.861334048563873
0,bacteria58g_8nodes,213,Generell Spline approximation smoothing s1 with degree  1 ,0.7417910256522542,0.8612729100884656
1,bacteria58g_8nodes,213,Generell Spline approximation smoothing s1 with degree  2 ,0.7417793572046993,0.8612661361070104
2,bacteria58g_8nodes,213,Generell Spline approximation smoothing s1 with degree  3 ,0.7418963432154323,0.861334048563873
3,bacteria58g_8nodes,213,Generell Spline approximation smoothing s2 with degree  1 ,51211.8187310542,226.30028442548232
4,bacteria58g_8nodes,213,Generell Spline approximation smoothing s2 with degree  2 ,49514.04090499932,222.51750696293385
5,bacteria58g_8nodes,213,Generell Spline approximation smoothing s2 with degree  3 ,46099.30388995879,214.7074844758766
0,bacteria58g_8nodes,221,Polynominal  1,120638.37035913208,347.33034759308333
1,bacteria58g_8nodes,221,Polynominal  2,81430.90183768759,285.3610026574893
2,bacteria58g_8nodes,221,Polynominal  3,81413.55627553788,285.33060872527835
3,bacteria58g_8nodes,221,Polynominal_curve  1,120638.37035913208,347.33034759308333
4,bacteria58g_8nodes,221,Polynominal_curve  2,81430.90183768759,285.3610026574893
5,bacteria58g_8nodes,221,Polynominal_curve  3,81413.55627553788,285.33060872527835
0,bacteria58g_8nodes,221,Log_Polynominal  1,1.818588492905073,2.167000187221713
1,bacteria58g_8nodes,221,Log_Polynominal  2,1.1453838959083158,1.4454618778313828
2,bacteria58g_8nodes,221,Log_Polynominal  3,1.0839372806934888,1.3283020409412905
3,bacteria58g_8nodes,221,Log_curve  1,inf,inf
4,bacteria58g_8nodes,221,Log_curve  2,inf,inf
5,bacteria58g_8nodes,221,Log_curve  3,inf,inf
0,bacteria58g_8nodes,221,Smoothing Spline,2.3444781517103167e-09,4.841981156211078e-05
0,bacteria58g_8nodes,221,Univariatn Spline smoothing approximation 1 with degree  1 ,120638.37035913211,347.3303475930834
1,bacteria58g_8nodes,221,Univariatn Spline smoothing approximation 1 with degree  2 ,81430.90183768756,285.3610026574892
2,bacteria58g_8nodes,221,Univariatn Spline smoothing approximation 1 with degree  3 ,81413.55627553788,285.33060872527835
3,bacteria58g_8nodes,221,Univariatn Spline smoothing approximation 2 with degree  1 ,0.7171422736025923,0.8468425317628965
4,bacteria58g_8nodes,221,Univariatn Spline smoothing approximation 2 with degree  2 ,0.717165659556739,0.8468563393851044
5,bacteria58g_8nodes,221,Univariatn Spline smoothing approximation 2 with degree  3 ,0.7170175224029749,0.8467688718906564
0,bacteria58g_8nodes,221,Generell Spline approximation smoothing s1 with degree  1 ,0.7171422736025923,0.8468425317628965
1,bacteria58g_8nodes,221,Generell Spline approximation smoothing s1 with degree  2 ,0.717165659556739,0.8468563393851044
2,bacteria58g_8nodes,221,Generell Spline approximation smoothing s1 with degree  3 ,0.7170175224029749,0.8467688718906564
