,Reference Genom,Node Name,prediction method,mse,rmse
0,archea1.4g_24nodes,213,Polynominal  1,2300.7299941334804,47.965925344284564
1,archea1.4g_24nodes,213,Polynominal  2,2222.8611818908885,47.14722878272792
2,archea1.4g_24nodes,213,Polynominal  3,1908.2448426809365,43.683461889838085
3,archea1.4g_24nodes,213,Polynominal_curve  1,2300.7299941334804,47.965925344284564
4,archea1.4g_24nodes,213,Polynominal_curve  2,2222.861181890887,47.14722878272791
5,archea1.4g_24nodes,213,Polynominal_curve  3,1908.2448426809365,43.683461889838085
0,archea1.4g_24nodes,213,Log_Polynominal  1,1.1601721208455147,1.4702694487900023
1,archea1.4g_24nodes,213,Log_Polynominal  2,1.0690920337882963,1.294954767726982
2,archea1.4g_24nodes,213,Log_Polynominal  3,1.0550124269008336,1.260381219221575
3,archea1.4g_24nodes,213,Log_curve  1,inf,1.38574882439261e+59
4,archea1.4g_24nodes,213,Log_curve  2,inf,5.255219968408949e+61
5,archea1.4g_24nodes,213,Log_curve  3,inf,1.1131292890934525e+61
0,archea1.4g_24nodes,213,Smoothing Spline,1.2608812677749515,1.1228896952839809
0,archea1.4g_24nodes,213,Univariatn Spline smoothing approximation 1 with degree  1 ,2300.72999413348,47.965925344284564
1,archea1.4g_24nodes,213,Univariatn Spline smoothing approximation 1 with degree  2 ,2222.861181890888,47.14722878272792
2,archea1.4g_24nodes,213,Univariatn Spline smoothing approximation 1 with degree  3 ,1908.2448426809362,43.683461889838085
3,archea1.4g_24nodes,213,Univariatn Spline smoothing approximation 2 with degree  1 ,0.634963996471366,0.7968462815821921
4,archea1.4g_24nodes,213,Univariatn Spline smoothing approximation 2 with degree  2 ,0.6350036714185968,0.7968711761750432
5,archea1.4g_24nodes,213,Univariatn Spline smoothing approximation 2 with degree  3 ,0.6348908394489984,0.7968003761601763
0,archea1.4g_24nodes,213,Generell Spline approximation smoothing s1 with degree  1 ,0.6348478360246675,0.7967733906354225
1,archea1.4g_24nodes,213,Generell Spline approximation smoothing s1 with degree  2 ,0.6350036714185968,0.7968711761750432
2,archea1.4g_24nodes,213,Generell Spline approximation smoothing s1 with degree  3 ,0.6348908394489984,0.7968003761601763
3,archea1.4g_24nodes,213,Generell Spline approximation smoothing s2 with degree  1 ,2300.72999413348,47.965925344284564
4,archea1.4g_24nodes,213,Generell Spline approximation smoothing s2 with degree  2 ,2222.861181890888,47.14722878272792
5,archea1.4g_24nodes,213,Generell Spline approximation smoothing s2 with degree  3 ,1908.2448426809362,43.683461889838085
0,archea1.4g_24nodes,215,Polynominal  1,6353.033316762858,79.70591770228141
1,archea1.4g_24nodes,215,Polynominal  2,5899.441278491275,76.80782042533998
2,archea1.4g_24nodes,215,Polynominal  3,5866.1519206117155,76.59080832979708
3,archea1.4g_24nodes,215,Polynominal_curve  1,6353.033316762858,79.70591770228141
4,archea1.4g_24nodes,215,Polynominal_curve  2,5899.441278491275,76.80782042533998
5,archea1.4g_24nodes,215,Polynominal_curve  3,5866.1519206117155,76.59080832979708
0,archea1.4g_24nodes,215,Log_Polynominal  1,1.9319895907886708,2.251307482713496
1,archea1.4g_24nodes,215,Log_Polynominal  2,1.9185579986905519,2.2416254548063863
2,archea1.4g_24nodes,215,Log_Polynominal  3,1.918399356807162,2.2415106355408185
3,archea1.4g_24nodes,215,Log_curve  1,inf,2.2311153833299548e+35
4,archea1.4g_24nodes,215,Log_curve  2,inf,4.2208558401072496e+43
5,archea1.4g_24nodes,215,Log_curve  3,inf,1.2530904631314037e+42
0,archea1.4g_24nodes,215,Smoothing Spline,3.761690136709563e-07,0.0006133261886394192
0,archea1.4g_24nodes,215,Univariatn Spline smoothing approximation 1 with degree  1 ,6353.0333167628605,79.70591770228143
1,archea1.4g_24nodes,215,Univariatn Spline smoothing approximation 1 with degree  2 ,5899.441278491274,76.80782042533998
2,archea1.4g_24nodes,215,Univariatn Spline smoothing approximation 1 with degree  3 ,5866.151920611715,76.59080832979708
3,archea1.4g_24nodes,215,Univariatn Spline smoothing approximation 2 with degree  1 ,0.5527702707531515,0.7434852189204245
4,archea1.4g_24nodes,215,Univariatn Spline smoothing approximation 2 with degree  2 ,0.5527912324306788,0.7434993156894489
5,archea1.4g_24nodes,215,Univariatn Spline smoothing approximation 2 with degree  3 ,0.5527850323517383,0.7434951461521039
0,archea1.4g_24nodes,215,Generell Spline approximation smoothing s1 with degree  1 ,0.5527702707531515,0.7434852189204245
1,archea1.4g_24nodes,215,Generell Spline approximation smoothing s1 with degree  2 ,0.5527912324306788,0.7434993156894489
2,archea1.4g_24nodes,215,Generell Spline approximation smoothing s1 with degree  3 ,0.5527850323517383,0.7434951461521039
3,archea1.4g_24nodes,215,Generell Spline approximation smoothing s2 with degree  1 ,6353.0333167628605,79.70591770228143
4,archea1.4g_24nodes,215,Generell Spline approximation smoothing s2 with degree  2 ,5899.441278491274,76.80782042533998
5,archea1.4g_24nodes,215,Generell Spline approximation smoothing s2 with degree  3 ,5866.151920611715,76.59080832979708
0,archea1.4g_24nodes,216,Polynominal  1,318.48293441708216,17.846090171717787
1,archea1.4g_24nodes,216,Polynominal  2,180.45353451360222,13.433299464897008
2,archea1.4g_24nodes,216,Polynominal  3,118.3155838506131,10.877296716124512
3,archea1.4g_24nodes,216,Polynominal_curve  1,318.48293441708216,17.846090171717787
4,archea1.4g_24nodes,216,Polynominal_curve  2,180.45353451360222,13.433299464897008
5,archea1.4g_24nodes,216,Polynominal_curve  3,118.3155838506131,10.877296716124512
0,archea1.4g_24nodes,216,Log_Polynominal  1,1.274959364898693,1.63699685310654
1,archea1.4g_24nodes,216,Log_Polynominal  2,1.1526805456880862,1.4578291666995356
2,archea1.4g_24nodes,216,Log_Polynominal  3,1.1196650649653745,1.3996171543116414
3,archea1.4g_24nodes,216,Log_curve  1,inf,7.309935059903161e+29
4,archea1.4g_24nodes,216,Log_curve  2,inf,5.17220611312976e+42
5,archea1.4g_24nodes,216,Log_curve  3,inf,3.186466406208834e+40
0,archea1.4g_24nodes,216,Smoothing Spline,29.221817527005392,5.405720814748519
0,archea1.4g_24nodes,216,Univariatn Spline smoothing approximation 1 with degree  1 ,318.4829344170822,17.846090171717787
1,archea1.4g_24nodes,216,Univariatn Spline smoothing approximation 1 with degree  2 ,180.45353451360205,13.433299464897
2,archea1.4g_24nodes,216,Univariatn Spline smoothing approximation 1 with degree  3 ,118.315583850613,10.877296716124507
3,archea1.4g_24nodes,216,Univariatn Spline smoothing approximation 2 with degree  1 ,0.6912746685100105,0.83142929254989
4,archea1.4g_24nodes,216,Univariatn Spline smoothing approximation 2 with degree  2 ,0.6913262091008245,0.8314602871459493
5,archea1.4g_24nodes,216,Univariatn Spline smoothing approximation 2 with degree  3 ,0.6914871306059487,0.8315570519248506
0,archea1.4g_24nodes,216,Generell Spline approximation smoothing s1 with degree  1 ,0.6913655497263733,0.8314839443587431
1,archea1.4g_24nodes,216,Generell Spline approximation smoothing s1 with degree  2 ,0.6913262091008245,0.8314602871459493
2,archea1.4g_24nodes,216,Generell Spline approximation smoothing s1 with degree  3 ,0.6914871306059487,0.8315570519248506
3,archea1.4g_24nodes,216,Generell Spline approximation smoothing s2 with degree  1 ,318.4829344170822,17.846090171717787
4,archea1.4g_24nodes,216,Generell Spline approximation smoothing s2 with degree  2 ,180.45353451360205,13.433299464897
5,archea1.4g_24nodes,216,Generell Spline approximation smoothing s2 with degree  3 ,118.315583850613,10.877296716124507
0,archea1.4g_24nodes,217,Polynominal  1,708.269759214442,26.6133379945929
1,archea1.4g_24nodes,217,Polynominal  2,467.03478366493573,21.61098756801585
2,archea1.4g_24nodes,217,Polynominal  3,453.95872434299923,21.306307149363054
3,archea1.4g_24nodes,217,Polynominal_curve  1,708.269759214442,26.6133379945929
4,archea1.4g_24nodes,217,Polynominal_curve  2,467.03478366493573,21.61098756801585
5,archea1.4g_24nodes,217,Polynominal_curve  3,453.95872434299923,21.306307149363054
0,archea1.4g_24nodes,217,Log_Polynominal  1,1.2098832826310337,1.5472674330144909
1,archea1.4g_24nodes,217,Log_Polynominal  2,1.1786510634513052,1.4999420354868866
2,archea1.4g_24nodes,217,Log_Polynominal  3,1.168152350078876,1.483252979170119
3,archea1.4g_24nodes,217,Log_curve  1,inf,1.2150535269577606e+48
4,archea1.4g_24nodes,217,Log_curve  2,inf,4.7290665662619767e+55
5,archea1.4g_24nodes,217,Log_curve  3,inf,7.826500837405632e+56
0,archea1.4g_24nodes,217,Smoothing Spline,339.6419853659907,18.429378322829848
0,archea1.4g_24nodes,217,Univariatn Spline smoothing approximation 1 with degree  1 ,708.2697592144419,26.613337994592897
1,archea1.4g_24nodes,217,Univariatn Spline smoothing approximation 1 with degree  2 ,467.0347836649357,21.61098756801585
2,archea1.4g_24nodes,217,Univariatn Spline smoothing approximation 1 with degree  3 ,453.95872434299935,21.306307149363057
3,archea1.4g_24nodes,217,Univariatn Spline smoothing approximation 2 with degree  1 ,0.6220839998840413,0.7887230184824336
4,archea1.4g_24nodes,217,Univariatn Spline smoothing approximation 2 with degree  2 ,0.6220433145696129,0.7886972261708627
5,archea1.4g_24nodes,217,Univariatn Spline smoothing approximation 2 with degree  3 ,0.6220260418531457,0.7886862759381233
0,archea1.4g_24nodes,217,Generell Spline approximation smoothing s1 with degree  1 ,0.6220839998840413,0.7887230184824336
1,archea1.4g_24nodes,217,Generell Spline approximation smoothing s1 with degree  2 ,0.6220161852752895,0.7886800271816762
2,archea1.4g_24nodes,217,Generell Spline approximation smoothing s1 with degree  3 ,0.6220260418531457,0.7886862759381233
3,archea1.4g_24nodes,217,Generell Spline approximation smoothing s2 with degree  1 ,708.2697592144419,26.613337994592897
4,archea1.4g_24nodes,217,Generell Spline approximation smoothing s2 with degree  2 ,467.0347836649357,21.61098756801585
5,archea1.4g_24nodes,217,Generell Spline approximation smoothing s2 with degree  3 ,453.95872434299935,21.306307149363057
0,archea1.4g_24nodes,218,Polynominal  1,39.058611183910266,6.2496888869695155
1,archea1.4g_24nodes,218,Polynominal  2,17.59578569039288,4.194733089291008
2,archea1.4g_24nodes,218,Polynominal  3,5.20399174326132,2.2812259299028934
3,archea1.4g_24nodes,218,Polynominal_curve  1,39.058611183910266,6.2496888869695155
4,archea1.4g_24nodes,218,Polynominal_curve  2,17.59578569039288,4.194733089291008
5,archea1.4g_24nodes,218,Polynominal_curve  3,5.20399174326132,2.2812259299028934
0,archea1.4g_24nodes,218,Log_Polynominal  1,1.0670584014209035,1.2901596636035366
1,archea1.4g_24nodes,218,Log_Polynominal  2,1.066523490818702,1.2888882084506301
2,archea1.4g_24nodes,218,Log_Polynominal  3,1.0188681828887514,1.1465071997802505
3,archea1.4g_24nodes,218,Log_curve  1,inf,8.309082281694669e+40
4,archea1.4g_24nodes,218,Log_curve  2,inf,1.6730797184749346e+53
5,archea1.4g_24nodes,218,Log_curve  3,inf,5.090359080065424e+53
0,archea1.4g_24nodes,218,Smoothing Spline,2.8574257296611805,1.6903921822054138
0,archea1.4g_24nodes,218,Univariatn Spline smoothing approximation 1 with degree  1 ,39.05861118391027,6.249688886969516
1,archea1.4g_24nodes,218,Univariatn Spline smoothing approximation 1 with degree  2 ,17.595785690392894,4.1947330892910095
2,archea1.4g_24nodes,218,Univariatn Spline smoothing approximation 1 with degree  3 ,5.203991743261312,2.2812259299028916
3,archea1.4g_24nodes,218,Univariatn Spline smoothing approximation 2 with degree  1 ,0.4655341549752693,0.6823006338669702
